Fichier ;Nombre de lignes ;Nombre total de tokens ;Moyenne de tokens par ligne ;Top 10 tokens,Fichier
Corpus_07_Ziri Sut/Ammud-n-yisefra-n-Lunis-At-Mengellat/Amennuɣ.md ;39 ;311 ;7.97 ;,d: 18; ad: 15; i: 11; ara: 9; s: 6; ass: 4; di: 4; Ur: 4; yenna: 4; as: 4,
Corpus_07_Ziri Sut/Ammud-n-yisefra-n-Lunis-At-Mengellat/Lukan i lliɣ d amusnaw.md ;40 ;391 ;9.78 ;,"d: 31; ad: 25; i: 16; t: 10; as: 9; Ad: 8; ur: 7; is,: 7; win: 6; lliɣ: 5",
Corpus_07_Ziri Sut/Ammud-n-yisefra-n-Lunis-At-Mengellat/Awal.md ;18 ;186 ;10.33 ;,ad: 10; d: 8; i: 7; is.: 6; ur: 5; ay: 5; aḥbib: 5; di: 5; lemmer: 4; A: 4,
Corpus_07_Ziri Sut/Ammud-n-yisefra-n-Lunis-At-Mengellat/Lebɣi n wul.md ;50 ;440 ;8.80 ;,"I: 48; wul: 48; iw,: 48; yebɣa: 23; yugi: 23; ad: 22; ur: 14; win: 13; i: 8; d: 8",
Corpus_07_Ziri Sut/Ammud-n-yisefra-n-Lunis-At-Mengellat/Tareɛt.md ;42 ;339 ;8.07 ;,d: 18; as: 12; i: 11; ad: 11; tt: 10; n: 7; id: 6; aɣ: 5; s: 5; ayen: 4,
Corpus_07_Ziri Sut/Ammud-n-yisefra-n-Lunis-At-Mengellat/Tiyita.md ;32 ;295 ;9.22 ;,d: 20; ad: 16; i: 10; ara: 6; s: 6; ma: 4; deg: 4; tt: 4; n: 4; yal: 4,
Corpus_07_Ziri Sut/Ammud-n-yisefra-n-Lunis-At-Mengellat/A wi irun.md ;30 ;364 ;12.13 ;,ad: 22; d: 20; i: 10; ur: 9; t: 8; s: 6; t.: 5; a: 5; is.: 5; akem: 4,
Corpus_07_Ziri Sut/Ammud-n-yisefra-n-Lunis-At-Mengellat/Di ssuq.md ;37 ;337 ;9.11 ;,d: 29; i: 13; ad: 8; s: 8; as: 8; wid: 6; tt: 6; win: 6; deg: 5; ur: 4,
Corpus_07_Ziri Sut/Ammud-n-yisefra-n-Lunis-At-Mengellat/Abrid n temẓi.md ;120 ;1018 ;8.48 ;,d: 77; ad: 37; i: 33; n: 26; iyi: 20; s: 17; t: 17; di: 16; Ur: 14; Mi: 13,
Corpus_07_Ziri Sut/Ammud-n-yisefra-n-Lunis-At-Mengellat/Ay iminig n yiḍ.md ;28 ;208 ;7.43 ;,"ad: 13; d: 7; ma: 5; k: 5; ik,: 4; ur: 4; i: 4; n: 4; asen: 4; Ma: 3",
